,worker,DocID,SentID,Sys,Src,Adequacy,Fluency
0,8732,120,5,Sys_P,"Meanwhile, the EU's lead negotiator, Michael Barnier, says the bloc is still waiting for new plans from the UK.",0,0
1,8732,124,1,Sys_A,Germany reports landmark case of West Nile virus,0,0
2,8732,124,2,Sys_A,"Authorities are reporting the first known human case of West Nile virus transmitted by mosquitoes in Germany, a development apparently hastened by climate change.",84,77
3,8732,124,3,Sys_A,The national disease control and tropical medicine centers said Friday the person developed encephalitis but recovered after hospital treatment.,85,87
4,8732,124,4,Sys_A,The virus originated in Africa but has been spread northward by migratory birds and mosquitoes.,90,90
5,8732,124,5,Sys_A,There have been several outbreaks in southern and central Europe in recent years.,23,80
6,8732,124,6,Sys_A,It is found in much of the U.S.,95,96
7,8732,124,7,Sys_A,"Jonas Schmidt-Chanasit of Germany's Bernhard Nocht Institute tropical medicine center said that ""the unusually warm summers of the last two years, triggered by climate change, apparently have contributed to WNV establishing itself north of the Alps.""",0,0
8,8732,75,5,Sys_A,"We condemn the President's attacks, and we invite our Republican counterparts to do the same because Congress must do all it can to protect this whistleblower, and all whistleblowers,"" they said.",92,91
9,8732,75,6,Sys_A,"""Threats of violence from the leader of our country have a chilling effect on the entire whistleblower process, with grave consequences for our democracy and national security.""",0,0
10,8732,75,7,Sys_A,"The statement said Trump ""is fully aware that our Committees are seeking testimony from this whistleblower and others referenced in the whistleblower's complaint released today as part of the House's impeachment inquiry, and our nation's laws prohibit efforts to discourage, intimidate, or otherwise pressure a witness not to provide testimony to Congress.""",92,94
11,8732,49,10,Sys_A,It did not provide details about the circumstances of Quintero's death.,0,0
12,8732,75,8,Sys_A,"""No officials with knowledge relevant to the committees' investigation, including knowledge of the subject of the whistleblower complaint, may be subject to any intimidation, reprisal, or threat of reprisal, and all witnesses must be made available for congressional testimony,"" they added.",96,95
13,8732,75,10,Sys_A,"A transcript of July phone conversation released by the White House on Wednesday shows Trump repeatedly pushed Zelensky to investigate former Vice President Joe Biden and his son, Hunter.",91,91
14,8732,75,11,Sys_A,There is no evidence of wrongdoing by either Joe or Hunter Biden.,91,90
15,8732,75,12,Sys_A,"Even before the whistleblower complaint was made available to lawmakers, House Speaker Nancy Pelosi on Tuesday declared Trump had betrayed his oath of office and announced she was opening a formal impeachment inquiry into the President.",89,88
16,8732,9,14,Sys_P,"""We want to understand from people whether removing the total counts improves their experience, while also not limiting any positive interactions,"" said Mia Garlick, of Facebook Australia.",0,0
17,8732,9,13,Sys_P,The social media giant did not confirm how long the trial would run for.,0,0
18,8732,9,12,Sys_P,"""While this has been testing on Instagram, Facebook and (Instagram) are different surfaces and we will likely see different data come from this test,"" the company said.",0,0
19,8732,9,11,Sys_P,"The Facebook trial was described as ""a limited test in order for us to get some early learnings.""",0,0
20,8732,9,10,Sys_P,"What began as a test on Instagram in Canada was expanded to Australia, Brazil and several other major markets.",0,0
21,8732,9,9,Sys_P,"Facebook's decision comes after it launched a trial in July to hide ""likes"" on the company's other major social media platform, Instagram.",0,0
22,8732,124,8,Sys_A,The virus causes dangerous meningitis or encephalitis in less than 1% of those infected.,0,0
23,8732,75,9,Sys_A,"The statement on Thursday comes amidst an explosive week in Washington rooted in a whistleblower complaint alleging that Trump abused his official powers ""to solicit interference"" from Ukrainian President Volodymyr Zelensky in the upcoming 2020 election, and the White House took steps to cover it up.",0,0
24,8732,9,8,Sys_P,"In Australia, one in five children report experiencing cyberbullying, according to the country's eSafety commissioner.",0,0
25,8732,49,9,Sys_A,"Another leader of Los Pelusos was captured in the operation, the statement added.",88,78
26,8732,49,7,Sys_A,"Quintero was responsible for the killings of human rights activists and community leaders, the statement added.",43,44
27,8732,83,12,Sys_B,They were rescued alive in the state of Rio Grande do Norte and sent to rehabilitation centers.,96,96
28,8732,130,5,Sys_A,"The minister also released two books, ""Amader Vidyasagar"" and ""Chotoder Vidyasagar"" at the programme.",35,99
29,8732,130,6,Sys_A,"Some items used by Vidyasagar, gathering dust in the storeroom of the house, will be brought out for public viewing at the museum.",99,100
30,8732,130,7,Sys_A,"This will help the present generation to know about the man, who had waged a war against women oppression and propagated widow remarriage, he said.",30,30
31,8732,130,8,Sys_A,"The School Education and Higher Education department will organise seminars highlighting Vidaysagar's life and work in schools and colleges during a year-long programme, Mr Chatterjee said.",32,32
32,8732,130,9,Sys_A,"Listing other activities to be taken up by the academy, Mr Chatterjee said that a collection of hitherto unknown writings by Vidyasagar will be published.",41,39
33,8732,130,10,Sys_A,Chief Minister Mamata Banerjee had recently announced that Vidyasagar's birthplace at Birsinghapur village will be developed as an educational tourist hub.,90,97
34,8732,130,11,Sys_A,"On Thursday, a bronze statue of Vidyasagar was installed at Vidyasagar College.",99,99
35,8732,130,12,Sys_A,"""Those who are against the social reforms of Vidyasagar had vandalised his bust at the institution associated with his name,"" the minister said.",100,99
36,8732,130,13,Sys_A,A bust of the social reformer was vandalised during a road show of BJP chief Amit Shah in the city in May.,99,99
37,8732,49,8,Sys_A,Duque has faced criticism from some in the international community for not doing more to stop killings of activists from being committed with impunity across the country.,0,0
38,8732,83,11,Sys_B,Some marine turtles were contaminated by the oil.,100,67
39,8732,83,9,Sys_B,"The head of Brazil's oil agency ANP Decio Oddone said the agency believes the oil could have been spilled by a tanker transporting the crude far from the Brazilian coast, but added this possibility has not yet been confirmed yet.",100,100
